conversation_id,reference_summary,predicted_summary,factual,useful,concise,no_hallucination,notes
tweetsum_test_bbde6d8ec7c39c4551da1ff6024f997b,Customer is complaining that the watchlist is not updated with new episodes from past two days. Agent informed that the team is working hard to investigate to show new episodes on page.,"Customer's Hulu watchlist is not updating with new episodes. Some shows updated overnight, but others did not. The problem has been resolved as of this morning, so the new episodes will be available on the show page for these shows as of now.",,,,,
tweetsum_test_1d1a6617ae65baa429c2232ccc908840,Customer is asking about the ACC to link to the current  number. Agent says that they have updated their case manager.,"Customer's account was linked to an old number, so he needs to verify his account to change his phone number. Agent will contact a specialist to help him change his number. Customer deleted the post with personal information, but the agent updated his case manager and will follow up with him shortly.",,,,,
tweetsum_test_9555f25de7b6c8dfb8204f56f8bc4dd0,Customer is complaining about the new updates IOS11 and can't even use some apps on phone. Agent asks to send a DM and work from there URL.,The new update of iOS 11.0.3 is not compatible with some apps on the iPhone 6s. There are no updates for the Words with friends app on the App Store. Customer will send them a DM and they will help him with the issue.,,,,,
tweetsum_test_54fe18905f0a19ee163a2b452e31e07d,Customer is complaining about parcel service  of  delivery drivers. Agent is asking  to provide more details.,Customer is angry at Surepost because they didn't deliver his parcel to his house on time. The agent will need the tracking number of the parcel to look into it further. Surepost is a contracted service where they deliver the package from the shipper to USPS for them to do the final delivery.,,,,,
tweetsum_test_f6cc57227f74737de08efd03782d015e,"The customer says that he is stuck at Staines waiting for a Reading train, and asks why no information has been passed on to the passengers at the platform. The agent says that due to electricity supply problems trains are not running to Reading and adds that they have just been informed by their engineers that the line is open again and trains can now run between Workingham and Reading.","Customer is stuck at Staines waiting for a Reading train. There are no trains running to Reading due to electric supply problems. The 8.42 was going to Wokingham, but it's now going to Reading again. The line is now open again.",,,,,
tweetsum_test_6cb96c1bfdcd36d7d04fd2908fecffe3,Customer is complaining that he is unable to locate a particular product even after searching 3 aisle for 15 minutes. Agent states that his colleague will assist to locate it and also requests for the nectar card number.,The product will be available in aisle 7 at Leicester Fosse Park. The customer's nectar card still comes up with Cybill. The store doesn't stock it. Gabby will send the customer's Nectar card number to Agent so he can look into it.,,,,,
tweetsum_test_37bb8b5e805036bba6ed0882151d5492,Customer says the mileage total for this week dropped from 12.5 miles to 6.25 after the app updated based on new data. Agent says will be able to assist better over the phone.,This morning the app asked to update the 5K plan using customer's improved times. It cut next week's runs by more than half and slowed his times even more. He's using an iPhone 7+ with version 11.1.2 NRC App Version 5.10.0.,,,,,
tweetsum_test_18007aa71d2aa813646b4130b903453a,The customer is complaining that why did you left the customers for the day. The agent confronted saying that their standard ours currently atr 7am to 7pm monday to friday and asks him to email them.,Agent left for the day and left his passengers stranded for three hours. The standard working hours are 7am - 7pm Monday to Friday and the updates from then would be made at stations. The customer is angry at him for not doing his job properly.,,,,,
tweetsum_test_96582ff6b36a9f65cabfe79bed4401c9,Customer having an issue with data speed in his area. Agent updated the customer in some area of their market network is not yet provided those speed and also informed the customer to contact billing specialist for further assist.,"In some areas of the country the network is not able to provide 100mb for 44.99. The advertised prices are for new customers. If you upgrade to the 100mb plan and are not receiving it, you should contact the billing specialist at 800-892-4357.",,,,,
tweetsum_test_1fbfbb7710a2c53a781ba3dd7f7c08c0,Customer says he is not satisfied with the company service. Agent asks to send the address so that he can double check which service is provided to the scott.,Customer is frustrated with the 3mbps connection to his house. He can't do his school work or play Xbox with his friends. He sent a message to the customer support. The agent will double check the services provided at the address and will send the address in a DM so it's not public.,,,,,
